DANE,Subsidiado
52678,28416
52683,17376
52685,6832
52687,16418
52693,12835
52694,6002
52696,10723
52699,8726
52720,6239
52786,15152
52788,9065
52835,134785
52838,36088
52885,8781
54001,339066
54003,26147
54051,7467
54099,4253
54109,4651
54125,2415
54128,7666
54172,8641
54174,8624
54206,14673
54223,6988
54239,3381
54245,12576
54250,10261
54261,16374
54313,4700
54344,9139
54347,2998
54377,4614
54385,7951
54398,7181
54405,30581
54418,3162
54480,3076
54498,61201
54518,22174
54520,3968
54553,9259
54599,4675
54660,7927
54670,8578
54673,3012
54680,2310
54720,17501
54743,4405
54800,12753
54810,26551
54820,12095
54871,4284
54874,59699
63001,101474
63111,2098
63130,34983
63190,14919
63212,4008
63272,7601
63302,6952
63401,22003
63470,29414
63548,4735
63594,22702
63690,3745
66001,134671
66045,8526
66075,4594
66088,18977
66170,57508
66318,9594
66383,5853
66400,14482
66440,12436
66456,12962
66572,12368
66594,22512
66682,31763
66687,9555
68001,157331
68013,1525
68020,2582
68051,6400
68077,14425
68079,4432
68081,77539
68092,2895
68101,8373
68121,1530
68132,587
68147,4859
68152,4432
68160,1608
68162,5613
68167,7908
68169,2153
68176,2222
68179,3665
68190,23182
68207,5515
68209,1977
68211,2524
68217,5021
68229,6799
68235,11821
68245,1637
68250,3985
68255,10492
68264,2256
68266,3383
68271,4830
68276,64446
68296,2804
68298,2986
68307,45472
68318,5842
68320,3693
68322,1427
68324,3143
68327,3267
68344,1837
68368,2832
68370,1155
68377,5145
68385,9410
68397,4698
68406,17607
68418,7362
68425,2142
68432,11275
68444,3806
68464,8117
68468,4579
68498,4082
68500,7251
68502,4293
68522,1079
68524,1787
68533,3059
68547,39855
68549,2215
68572,8243
68573,3729
68575,15742
68615,17375
68655,15876
68669,8081
68673,2343
68679,15383
68682,2007
68684,4197
68686,2243
68689,21243
68705,1741
68720,3521
68745,6863
68755,12743
68770,7602
68773,6367
68780,2617
68820,4350
68855,4141
68861,11056
68867,647
68872,5561
68895,5999
70001,238285
70110,8321
70124,11910
70204,6095
70215,44828
70221,8679
70230,4411
70233,8896
70235,17891
70265,15638
70400,10428
70418,19758
70429,35644
70473,13160
70508,23401
70523,11462
70670,39180
70678,23664
70702,11358
70708,57578
70713,47394
70717,15611
70742,27913
70771,23328
70820,21203
70823,17276
73001,172948
73024,3585
73026,6042
73030,4475
73043,8807
73055,7474
73067,16615
73124,14100
73148,5344
73152,5395
73168,41074
73200,5576
73217,24501
73226,7539
73236,6636
73268,37217
73270,5724
73275,10056
73283,23467
73319,22281
73347,4507
73349,12661
73352,6637
73408,11372
73411,26859
73443,21922
73449,11565
73461,3686
73483,15075
73504,29281
73520,8253
73547,2819
73555,27092
73563,6731
73585,18445
73616,21089
73622,4711
73624,22078
73671,9833
73675,12746
73678,8891
73686,5020
73770,2816
73854,4300
73861,8272
73870,8748
73873,4383
76001,669666
76020,9949
76036,10358
76041,14799
76054,4687
76100,12690
76109,215975
76111,50645
76113,11650
76122,20232
76126,11198
76130,33438
76147,57595
76233,24448
76243,7622
76246,6404
76248,28083
76250,9470
76275,35938
76306,12351
76318,15879
76364,45268
76377,8289
76400,20932
76403,8744
76497,8186
76520,133358
