DANE,Contributivo
73168,9538
73200,237
73217,623
73226,259
73236,288
73268,35044
73270,290
73275,3302
73283,4615
73319,1897
73347,137
73349,9611
73352,512
73408,5735
73411,7341
73443,11447
73449,14524
73461,138
73483,437
73504,1325
73520,251
73547,680
73555,574
73563,641
73585,2725
73616,291
73622,270
73624,641
73671,1043
73675,322
73678,267
73686,587
73770,103
73854,170
73861,1543
73870,314
73873,262
76001,1353256
76020,1949
76036,5584
76041,3213
76054,574
76100,1402
76109,89076
76111,69577
76113,7902
76122,8927
76126,3728
76130,34429
76147,67077
76233,6635
76243,658
76246,692
76248,23669
76250,857
76275,28974
76306,6048
76318,13236
76364,40616
76377,1438
76400,8877
76403,3637
76497,2406
76520,167204
76563,22486
76606,4189
76616,3739
76622,11304
76670,3803
76736,8532
76823,2372
76828,1915
76834,103952
76845,836
76863,1275
76869,2065
76890,3332
76892,45487
76895,19934
81001,20561
81065,1612
81220,186
81300,261
81591,138
81736,6684
81794,3640
85001,59970
85010,8990
85015,108
85125,547
85136,75
85139,2396
85162,3429
85225,487
85230,1250
85250,3018
85263,735
85279,81
85300,613
85315,114
85325,643
85400,301
85410,6004
85430,1097
85440,13692
86001,11711
86219,127
86320,6504
86568,10931
86569,294
86571,564
86573,1009
86749,2871
86755,76
86757,397
86760,81
86865,1859
86885,1956
88001,28621
88564,1428
91001,11342
91540,139
94001,3254
95001,9737
95015,281
95025,418
95200,196
97001,2441
97161,14
97666,0
99001,4282
99524,18
99624,4
99773,46
