Divipola;Subsidiado
52210;7314
52215;14879
52224;10439
52227;31516
52233;7726
52240;9083
52250;15521
52254;6500
52256;9129
52258;14152
52260;15477
52287;7141
52317;17212
52320;13394
52323;5694
52352;7529
52354;7033
52356;78470
52378;15100
52381;10191
52385;4185
52390;6172
52399;20071
52405;8940
52411;10849
52418;9975
52427;9266
52435;9090
52473;10389
52480;3145
52490;16587
52506;6217
52520;5831
52540;10407
52560;11621
52565;6232
52573;7509
52585;14378
52612;16297
52621;10558
52678;30026
52683;18117
52685;7318
52687;16564
52693;14217
52694;6189
52696;11094
52699;9388
52720;6743
52786;14874
52788;9718
52835;129114
52838;32123
52885;9553
54001;317899
54003;23938
54051;6542
54099;4621
54109;5023
54125;2338
54128;6826
54172;9300
54174;8558
54206;15198
54223;6899
54239;3605
54245;13369
54250;9864
54261;15312
54313;4558
54344;8684
54347;3230
54377;5063
54385;8129
54398;7419
54405;29197
54418;3029
54480;2930
54498;53259
54518;22026
54520;3802
54553;8575
54599;4386
54660;7790
54670;8138
54673;2379
54680;2437
54720;17066
54743;4410
54800;12638
54810;27668
54820;13035
54871;3730
54874;53621
63001;96219
63111;2692
63130;40014
63190;14820
63212;4963
63272;8718
63302;7798
63401;21483
63470;28788
63548;5292
63594;24447
63690;4460
66001;131163
66045;8012
66075;4462
66088;17901
66170;58767
66318;9002
66383;5743
66400;14459
66440;11475
66456;12587
66572;9941
66594;22449
66682;29599
66687;9534
68001;172711
68013;1903
68020;3235
68051;6948
68077;9334
68079;4646
68081;94369
68092;3477
68101;9144
68121;1760
68132;870
68147;6245
68152;5146
68160;1930
68162;6351
68167;8288
68169;2332
68176;2405
68179;4032
68190;27794
68207;6309
68209;2084
68211;2975
68217;5863
68229;7531
68235;13373
68245;1780
68250;4647
68255;11118
68264;2344
68266;4399
68271;6198
68276;72085
68296;2802
68298;3376
68307;45593
68318;6829
68320;3668
68322;1564
68324;3185
68327;3245
68344;2022
68368;3016
68370;1277
68377;5497
68385;10906
68397;5223
68406;16338
68418;6865
68425;2367
68432;10121
68444;4100
68464;8627
68468;5105
68498;4431
68500;6509
68502;5005
68522;1266
68524;1711
68533;2684
68547;33159
68549;2414
68572;7495
68573;4094
68575;17729
68615;18604
68655;16758
68669;8951
68673;3018
68679;16802
68682;2369
68684;4641
68686;2749
68689;22634
68705;1826
68720;3537
68745;7503
68755;12565
68770;7576
68773;7372
68780;2827
68820;5218
68855;3892
68861;11505
68867;966
68872;5436
68895;5264
70001;182538
70110;8098
70124;11174
70204;6176
70215;28620
70221;8633
70230;4169
70233;8142
70235;13668
70265;15046
70400;9735
70418;17637
70429;30270
70473;11161
70508;17091
70523;10828
70670;38996
70678;24169
70702;11231
70708;41901
70713;34110
70717;12460
70742;23434
70771;22352
70820;17588
70823;12785
73001;129617
73024;3952
73026;5622
73030;4462
73043;8938
73055;7412
73067;15253
73124;14136
73148;5284
73152;5868
73168;38079
73200;5886
73217;21390
73226;6621
73236;6205
73268;37107
73270;5786
73275;12254
73283;26099
73319;22518
73347;4743
73349;12200
73352;6653
73408;9678
73411;25482
73443;23904
73449;15722
73461;3427
73483;13685
73504;23785
73520;8025
73547;2811
73555;22966
73563;6228
73585;18692
73616;19109
73622;4778
73624;22279
73671;10597
73675;11366
73678;9089
73686;4727
73770;3293
73854;4351
73861;8187
73870;9045
73873;4259
76001;593143
76020;8034
76036;8522
76041;12655
76054;4645
76100;10753
76109;136520
76111;51278
76113;11231
76122;20896
76126;9813
76130;32254
76147;51501
