DIVIPOLA,IDH_2005
68179,59.56
68190,63.63
68207,59.83
68209,62.32
68211,61.25
68217,60.23
68229,60.05
68235,58.72
68245,60.05
68250,53.41
68255,58.82
68264,62.86
68266,61.58
68271,58.48
68276,65.85
68296,61.75
68298,58.59
68307,64.5
68318,61.66
68320,60.9
68322,65.09
68324,59.23
68327,60.76
68344,60.15
68368,60.75
68370,56.09
68377,59.45
68385,56.92
68397,57.49
68406,62.54
68418,59.97
68425,59.08
68432,64.95
68444,60.67
68464,60.37
68468,61.52
68498,59.56
68500,61.82
68502,59.77
68522,62.3
68524,60.1
68533,62.7
68547,64.31
68549,63.15
68572,62.79
68573,59.63
68575,61.48
68615,59.88
68655,61.76
68669,62.61
68673,60.04
68679,65.98
68682,57.2
68684,62.07
68686,59.79
68689,61.31
68705,59.32
68720,56.29
68745,58.6
68755,65.77
68770,60.95
68773,58
68780,61.16
68820,59.05
68855,61.71
68861,59.17
68867,62.96
68872,61.43
68895,61.9
70001,63.3
70110,59.92
70124,55.12
70204,58.06
70215,60.63
70221,66.06
70230,55.82
70233,56.03
70235,59.82
70265,58.01
70400,58.61
70418,59.28
70429,57.18
70473,59.01
70508,57.33
70523,56.17
70670,57.9
70678,55.32
70702,59.87
70708,58.03
70713,56.3
70717,58.41
70742,58.93
70771,57.25
70820,62.23
70823,61.55
73001,66.68
73024,62
73026,60.43
73030,62.16
73043,58.8
73055,62.1
73067,58.36
73124,59.39
73148,66.8
73152,57.07
73168,59.21
73200,60.87
73217,58.2
73226,60.19
73236,59.27
73268,62.51
73270,59.53
73275,63.16
73283,58.87
73319,62.42
73347,58.69
73349,63.47
73352,61.3
73408,61.57
73411,60.09
73443,62.29
73449,70.62
73461,59.24
73483,60.14
73504,59.22
73520,57.59
73547,63.74
73555,57.75
73563,62.3
73585,62.29
73616,56.15
73622,60.02
73624,57.9
73671,64.5
73675,59.32
73678,59.59
73686,58.49
73770,61.59
73854,58.44
73861,60.02
73870,58.89
73873,60.85
76001,72.39
76020,60.37
76036,64.03
76041,59.31
76054,61.1
76100,59.58
76109,64.99
76111,69.01
76113,68.89
76122,62.9
76126,66.41
76130,66.69
76147,64.61
76233,63.03
76243,59.85
76246,58.84
76248,68.36
76250,60.74
76275,64.18
76306,64.53
76318,64.71
76364,67.03
76377,63.01
76400,64.13
76403,64.77
76497,62.97
76520,70.89
76563,63.59
76606,62.91
76616,63.85
76622,64.56
76670,65
76736,62.73
76823,61.78
76828,60.31
76834,66.49
76845,62.38
76863,61.64
76869,61.97
76890,64.14
76892,93.06
76895,69.3
81001,64.9
81065,61.01
81220,58.45
81300,61.61
81591,60.94
81736,60.26
81794,61.97
85001,66.61
85010,68.13
85015,60.69
85125,60.12
85136,60.87
85139,66.95
85162,65.79
85225,65.91
85230,60.53
85250,61.69
85263,62.02
85279,62.52
85300,66.69
85315,59.36
85325,62.94
85400,59.8
85410,74.51
85430,62.61
85440,64.02
86001,63.62
86219,61.38
86320,62
86568,61.54
86569,58.54
86571,56.89
86573,60.4
86749,61.23
86755,59.78
86757,59.97
86760,59.02
86865,59.99
86885,57.4
88001,63.3
88564,63.78
91001,65.86
91540,59.46
94001,59.8
95001,63.18
95015,60.17
95025,56.67
95200,59.03
97001,63.02
97161,62.96
97666,84.98
99001,61.5
99524,59.54
99624,57.69
99773,54.26
